"replicate","pipeline","metric","dimension","score","rank"
2,"raw","gearys_C",7,1.00795795624327,5
2,"raw","gearys_C",10,1.00553581262427,6
2,"raw","gearys_C",6,0.99727964805662,7
2,"raw","gearys_C",9,0.991719856713602,8
2,"raw","gearys_C",5,0.990477708926054,9
2,"raw","gearys_C",8,0.990031738690399,10
2,"raw","spatial_entropy",1,-2.70952301799093,1
2,"raw","spatial_entropy",2,-2.88102848756514,2
2,"raw","spatial_entropy",5,-2.88932000898824,3
2,"raw","spatial_entropy",10,-2.93567045596785,4
2,"raw","spatial_entropy",3,-2.95651858769635,5
2,"raw","spatial_entropy",4,-2.99650480408315,6
2,"raw","spatial_entropy",7,-3.01322065033111,7
2,"raw","spatial_entropy",9,-3.01444531393192,8
2,"raw","spatial_entropy",8,-3.01929795492067,9
2,"raw","spatial_entropy",6,-3.02054679246126,10
2,"smoothed","morans_I",1,0.779623532464557,1
2,"smoothed","morans_I",2,0.674926639286582,2
2,"smoothed","morans_I",3,0.340115699370656,3
2,"smoothed","morans_I",4,0.0552472230904713,4
2,"smoothed","morans_I",7,0.0185840537637598,5
2,"smoothed","morans_I",10,0.011426306032205,6
2,"smoothed","morans_I",6,-0.0012082759317283,7
2,"smoothed","morans_I",8,-0.00371965034251505,8
2,"smoothed","morans_I",9,-0.00380959777607264,9
2,"smoothed","morans_I",5,-0.00392147546896834,10
2,"smoothed","gearys_C",1,1.78455530228461,1
2,"smoothed","gearys_C",2,1.68574353814875,2
2,"smoothed","gearys_C",3,1.3375851940768,3
2,"smoothed","gearys_C",4,1.05930331038324,4
2,"smoothed","gearys_C",7,1.00795795624327,5
2,"smoothed","gearys_C",10,1.00553581262427,6
2,"smoothed","gearys_C",6,0.99727964805662,7
2,"smoothed","gearys_C",9,0.991719856713602,8
2,"smoothed","gearys_C",5,0.990477708926054,9
2,"smoothed","gearys_C",8,0.990031738690399,10
2,"smoothed","spatial_entropy",1,-2.64811651647419,1
