"architecture","n_territories","replicate","threshold","n_selected","ari_baseline","ari_selected","improvement"
"8_territories",8,3,0.15,1,0.4919,0.4265,-0.0654
"8_territories",8,3,0.2,1,0.4919,0.4265,-0.0654
"8_territories",8,3,0.3,1,0.4919,0.4265,-0.0654
"8_territories",8,3,0.5,13,0.4919,0.4846,-0.0072
"8_territories",8,4,0.02,1,0.5788,0.318,-0.2608
"8_territories",8,4,0.05,2,0.5788,0.5219,-0.0569
"8_territories",8,4,0.08,2,0.5788,0.5219,-0.0569
"8_territories",8,4,0.1,2,0.5788,0.5219,-0.0569
"8_territories",8,4,0.15,2,0.5788,0.5219,-0.0569
"8_territories",8,4,0.2,2,0.5788,0.5219,-0.0569
"8_territories",8,4,0.3,2,0.5788,0.5219,-0.0569
"8_territories",8,4,0.5,13,0.5788,0.5865,0.0077
"8_territories",8,5,0.02,1,0.587,0.2455,-0.3415
"8_territories",8,5,0.05,1,0.587,0.2455,-0.3415
"8_territories",8,5,0.08,1,0.587,0.2455,-0.3415
"8_territories",8,5,0.1,1,0.587,0.2455,-0.3415
"8_territories",8,5,0.15,2,0.587,0.3566,-0.2304
"8_territories",8,5,0.2,3,0.587,0.5744,-0.0126
"8_territories",8,5,0.3,4,0.587,0.5734,-0.0136
"8_territories",8,5,0.5,13,0.587,0.5863,-7e-04
